pizza_ingredients,quantity,unit
?duja Salami,15960.0,grams
Alfredo Sauce,6310.0,grams
Anchovies,15825.0,grams
Artichokes,50595.0,grams
Arugula,6165.0,grams
Asiago Cheese,29110.0,grams
Bacon,193930.0,grams
Barbecue Sauce,10620.0,grams
Barbecued Chicken,31020.0,grams
Beef Chuck Roast,55090.0,grams
Blue Cheese,17730.0,grams
Brie Carre Cheese,6120.0,grams
Calabrese Salami,92650.0,grams
Capocollo,318850.0,grams
Caramelized Onions,0.0,grams
Chicken,391150.0,grams
Chipotle Sauce,33330.0,grams
Chorizo Sausage,37050.0,grams
Cilantro,16665.0,grams
Coarse Sicilian Salami,58200.0,grams
Corn,111820.0,grams
Eggplant,14820.0,grams
Feta Cheese,48720.0,grams
Fontina Cheese,28850.0,grams
Friggitello Peppers,3990.0,grams
Garlic,125315.0,grams
Genoa Salami,39840.0,grams
Goat Cheese,63920.0,grams
Gorgonzola Piccante Cheese,26540.0,grams
Gouda Cheese,20960.0,grams
Green Olives,25155.0,grams
Green Peppers,38530.0,grams
Italian Sausage,7410.0,grams
Jalapeno Peppers,27145.0,grams
Kalamata Olives,14760.0,grams
Luganega Sausage,29100.0,grams
Mozzarella Cheese,90340.0,grams
Mushrooms,147960.0,grams
Onions,14550.0,grams
Oregano,6785.0,grams
Pancetta,23940.0,grams
Parmigiano Reggiano Cheese,63060.0,grams
Pears,2040.0,grams
Peperoncini verdi,9195.0,grams
Pepperoni,172430.0,grams
Pesto Sauce,22510.0,grams
Pineapple,63075.0,grams
Plum Tomatoes,15100.0,grams
Prosciutto,6120.0,grams
Prosciutto di San Daniele,14120.0,grams
Provolone Cheese,17730.0,grams
Red Onions,343880.0,grams
Red Peppers,72125.0,grams
Ricotta Cheese,33175.0,grams
Romano Cheese,17730.0,grams
Sliced Ham,0.0,grams
Smoked Gouda Cheese,17730.0,grams
Soppressata Salami,39450.0,grams
Spinach,121065.0,grams
Sun-dried Tomatoes,7290.0,grams
Thai Sweet Chilli Sauce,22400.0,grams
Thyme,1020.0,grams
Tomatoes,236980.0,grams
Zucchini,19410.0,grams
